Name,Rating,Reviews Count,Category,Address,Phone,Website,Google Maps URL,Latitude,Longitude,Status / Hours,Scraped At (UTC)
Ryan Real Estate - Best Property Dealer in,5.0,,Industrial real estate agency,"84, Manohar Das Rd, Sonapatti, Bara Bazar, Jorasanko, Kolkata, West Bengal 700007",093305 14430,,https://www.google.com/maps/place/Ryan+Real+Estate+-+Best+Property+Dealer+in/data=!4m7!3m6!1s0x3a02772eb2a37fc1:0xa751071e20d223ab!8m2!3d22.5819741!4d88.3521572!16s%2Fg%2F11zcslt6sg!19sChIJwX-jsi53AjoRqyPSIB4HUac?authuser=0&hl=en&g_ep=EgoyMDI2MDgyNi4wIJJjKgBIAVAD&rclk=1,22.5819741,88.3521572,Closed · Opens 9 am Mon,2026-08-30T09:53:50.376948+00:00
Lahoti Realtors,5.0,,Industrial real estate agency,"Suit No. 2C, Block A3, 493/c/a G T Road (S, Vivek Vihar, Howrah, West Bengal 711102",098832 33612,,https://www.google.com/maps/place/Lahoti+Realtors/data=!4m7!3m6!1s0x3a02778658d4d785:0x59c7963adcd648ca!8m2!3d22.5730816!4d88.3297633!16s%2Fg%2F11jp47y4nx!19sChIJhdfUWIZ3AjoRykjW3DqWx1k?authuser=0&hl=en&g_ep=EgoyMDI2MDgyNi4wIJJjKgBIAVAD&rclk=1,22.5730816,88.3297633,Closed · Opens 10 am Mon,2026-08-30T09:53:52.798632+00:00
A ONE STATE AGENT,4.9,,Real estate agency,"376/2, Plot 49, Sarat Chatterjee Rd, Kazipada, Shalimar, Howrah, West Bengal 711103",,https://devsamp.vercel.app/,https://www.google.com/maps/place/A+ONE+STATE+AGENT/data=!4m7!3m6!1s0x3a02794a23be0673:0xfdd824e3975c0c34!8m2!3d22.5650599!4d88.3147476!16s%2Fg%2F11v5_y4lzf!19sChIJcwa-I0p5AjoRNAxcl-Mk2P0?authuser=0&hl=en&g_ep=EgoyMDI2MDgyNi4wIJJjKgBIAVAD&rclk=1,22.5650599,88.3147476,Open · Closes 8 pm,2026-08-30T09:53:55.162058+00:00
Somani Realtors Pvt Ltd,4.7,,Real estate agency,"2nd Floor, 40, Ashutosh Mukherjee Rd, near Netaji Bhawan, Bhowanipore, Kolkata, West Bengal 700020",090517 40000,https://somanirealtors.com/,https://www.google.com/maps/place/Somani+Realtors+Pvt+Ltd/data=!4m7!3m6!1s0x3a02773e4463f1df:0xf0ca95da20e8323c!8m2!3d22.5342279!4d88.3458677!16s%2Fg%2F1pp2vbx9l!19sChIJ3_FjRD53AjoRPDLoINqVyvA?authuser=0&hl=en&g_ep=EgoyMDI2MDgyNi4wIJJjKgBIAVAD&rclk=1,22.5342279,88.3458677,Open · Closes 7 pm,2026-08-30T09:53:57.587935+00:00
Kolkata Realtors | Real Estate Agents Real Estate Brokers in Kolkata,5.0,,Real estate agency,"16, Gangadhar Babu Ln, near Central Metro Station, Calcutta Medical College, Bowbazar, Kolkata, West Bengal 700012",093301 18211,https://kolkatarealtors.com/,https://www.google.com/maps/place/Kolkata+Realtors+%7C+Real+Estate+Agents+Real+Estate+Brokers+in+Kolkata/data=!4m7!3m6!1s0x4eaf511185a3a45f:0x53db7c094b03454d!8m2!3d22.571518!4d88.35961!16s%2Fg%2F11z0dht86l!19sChIJX6SjhRFRr04RTUUDSwl821M?authuser=0&hl=en&g_ep=EgoyMDI2MDgyNi4wIJJjKgBIAVAD&rclk=1,22.571518,88.35961,Open · Closes 7 pm,2026-08-30T09:54:00.076326+00:00
Sidus Realty Pvt Ltd,4.9,,Real estate agency,"2nd Floor, Room 211, 64 A, Hemanta Basu Sarani, Kolkata, West Bengal 700001",082402 22529,https://www.sidusrealty.com/,https://www.google.com/maps/place/Sidus+Realty+Pvt+Ltd/data=!4m7!3m6!1s0x3a02771c59c0ec93:0x71a056f569a2eecb!8m2!3d22.5723474!4d88.3509036!16s%2Fg%2F11b826m0d6!19sChIJk-zAWRx3AjoRy-6iafVWoHE?authuser=0&hl=en&g_ep=EgoyMDI2MDgyNi4wIJJjKgBIAVAD&rclk=1,22.5723474,88.3509036,Closed · Opens 11 am Mon,2026-08-30T09:54:02.497002+00:00
AK.MARKET,5.0,,Condominium rental agency,"J74M+M73, Mondal Para Rd, Bankra, Howrah, West Bengal 711403",,https://business.google.com/create?fp=13203119743419384015&hl=en&authuser=0&gmbsrc=in-en-et-ip-z-gmb-s-z-l~mrc%7Cclaimbz%7Cu&ppsrc=GMBMI&utm_campaign=in-en-et-ip-z-gmb-s-z-l~mrc%7Cclaimbz%7Cu&utm_source=gmb_mrc81&utm_medium=et&getstarted&lis=0,https://www.google.com/maps/place/AK.MARKET/data=!4m7!3m6!1s0x3a02790011ab65af:0xb73ae774197580cf!8m2!3d22.6066387!4d88.2831697!16s%2Fg%2F11nqyhk681!19sChIJr2WrEQB5AjoRz4B1GXTnOrc?authuser=0&hl=en&g_ep=EgoyMDI2MDgyNi4wIJJjKgBIAVAD&rclk=1,22.6066387,88.2831697,Open 24 hours,2026-08-30T09:54:04.964179+00:00
Pioneer Property Management Limited.,4.7,,Real estate consultant,"First Floor, 10A, Rawdon St, opposite State Election Commission, Mullick Bazar, Park Street area, Kolkata, West Bengal 700017",033 4002 4002,https://www.pioneerproperty.in/,https://www.google.com/maps/place/Pioneer+Property+Management+Limited./data=!4m7!3m6!1s0x3a02771ed23942a9:0x7293738dd6f7dd11!8m2!3d22.5451864!4d88.3581912!16s%2Fg%2F1tg33mq5!19sChIJqUI50h53AjoREd331o1zk3I?authuser=0&hl=en&g_ep=EgoyMDI2MDgyNi4wIJJjKgBIAVAD&rclk=1,22.5451864,88.3581912,Open · Closes 5 pm,2026-08-30T09:54:07.422119+00:00
Shekhar home,,,Housing society,"H79H+WW8, Baksara, Howrah, West Bengal 711110",,https://business.google.com/create?fp=10883559814172424405&hl=en&authuser=0&gmbsrc=in-en-et-ip-z-gmb-s-z-l~mrc%7Cclaimbz%7Cu&ppsrc=GMBMI&utm_campaign=in-en-et-ip-z-gmb-s-z-l~mrc%7Cclaimbz%7Cu&utm_source=gmb_mrc81&utm_medium=et&getstarted&lis=0,https://www.google.com/maps/place/Shekhar+home/data=!4m7!3m6!1s0x3a0279b9a163dd91:0x970a2bfcc776b8d5!8m2!3d22.5697331!4d88.2798003!16s%2Fg%2F11sjyj93_f!19sChIJkd1jobl5AjoR1bh2x_wrCpc?authuser=0&hl=en&g_ep=EgoyMDI2MDgyNi4wIJJjKgBIAVAD&rclk=1,22.5697331,88.2798003,,2026-08-30T09:54:09.815136+00:00
Prarthana - Captain Realty | Apartments in Howrah | Flats in howrah,5.0,,Condominium complex,"160, GT Rd, Naora, Shibpur, Howrah, West Bengal 711102",095137 31216,https://captainrealty.co.in/prarthana/,https://www.google.com/maps/place/Prarthana+-+Captain+Realty+%7C+Apartments+in+Howrah+%7C+Flats+in+howrah/data=!4m7!3m6!1s0x3a0277e61debbe7b:0x57efbcaa17a274a8!8m2!3d22.5718489!4d88.3266397!16s%2Fg%2F11m5tl34k2!19sChIJe77rHeZ3AjoRqHSiF6q871c?authuser=0&hl=en&g_ep=EgoyMDI2MDgyNi4wIJJjKgBIAVAD&rclk=1,22.5718489,88.3266397,Open 24 hours,2026-08-30T09:54:12.272930+00:00
Riddhi Realtors - Real Estate Agency Kolkata,4.8,,Real estate agent,,089811 38190,https://riddhirealtors.com/,https://www.google.com/maps/place/Riddhi+Realtors+-+Real+Estate+Agency+Kolkata/data=!4m7!3m6!1s0xf34c67cf97cc93b:0x3506b89945dca725!8m2!3d22.3916348!4d88.3277241!16s%2Fg%2F11vctvl8fv!19sChIJO8l8-XzGNA8RJafcRZm4BjU?authuser=0&hl=en&g_ep=EgoyMDI2MDgyNi4wIJJjKgBIAVAD&rclk=1,22.3916348,88.3277241,Open 24 hours,2026-08-30T09:54:14.797580+00:00
IDEAL PROPERTY,5.0,,Real estate consultant,"15, Dewangazi Rd, Bally, Howrah, West Bengal 711201",080132 98040,,https://www.google.com/maps/place/IDEAL+PROPERTY/data=!4m7!3m6!1s0x39f89d3959c96a29:0xd1219921108fdc3!8m2!3d22.6433024!4d88.3492744!16s%2Fg%2F11v_0628bz!19sChIJKWrJWTmd-DkRw_0IEZIZEg0?authuser=0&hl=en&g_ep=EgoyMDI2MDgyNi4wIJJjKgBIAVAD&rclk=1,22.6433024,88.3492744,Open · Closes 8 pm,2026-08-30T09:54:17.241399+00:00
Shivam Real Estate || real estate company near me || construction company in howrah,4.0,,Real Estate Builders & Construction Company,"17, Girish Ghosh Rd, Vivekananda Colony, Ghusuri, Howrah, West Bengal 711107",098312 93468,https://shivamrealestate.co.in/,https://www.google.com/maps/place/Shivam+Real+Estate+%7C%7C+real+estate+company+near+me+%7C%7C+construction+company+in+howrah/data=!4m7!3m6!1s0x39f89d7cd8080219:0x92c10a72462e4d88!8m2!3d22.6144358!4d88.3537857!16s%2Fg%2F11f35dlkt9!19sChIJGQII2Hyd-DkRiE0uRnIKwZI?authuser=0&hl=en&g_ep=EgoyMDI2MDgyNi4wIJJjKgBIAVAD&rclk=1,22.6144358,88.3537857,Open · Closes 8 pm,2026-08-30T09:54:19.746115+00:00
Sidus Realty Pvt Ltd,4.9,,Real estate agency,"2nd Floor, Room 211, 64 A, Hemanta Basu Sarani, Kolkata, West Bengal 700001",082402 22529,https://www.sidusrealty.com/,https://www.google.com/maps/place/Sidus+Realty+Pvt+Ltd/data=!4m7!3m6!1s0x3a02771c59c0ec93:0x71a056f569a2eecb!8m2!3d22.5723474!4d88.3509036!16s%2Fg%2F11b826m0d6!19sChIJk-zAWRx3AjoRy-6iafVWoHE?authuser=0&hl=en&g_ep=EgoyMDI2MDgyNi4wIJJjKgBIAVAD&rclk=1,22.5723474,88.3509036,Closed · Opens 11 am Mon,2026-08-30T09:54:22.208518+00:00
Srijan Global logistic পার্ক,4.6,,Retail space rental agency,"near Saraswati Bridge, Biswaspara, Howrah, West Bengal 711409",098741 24940,https://www.srijanrealty.com/property/srijan-global-haat/,https://www.google.com/maps/place/Srijan+Global+logistic+%E0%A6%AA%E0%A6%BE%E0%A6%B0%E0%A7%8D%E0%A6%95/data=!4m7!3m6!1s0x3a027f5d36e91ee5:0xa87c5d83a195aa70!8m2!3d22.6013521!4d88.2330724!16s%2Fg%2F11mhhdft9m!19sChIJ5R7pNl1_AjoRcKqVoYNdfKg?authuser=0&hl=en&g_ep=EgoyMDI2MDgyNi4wIJJjKgBIAVAD&rclk=1,22.6013521,88.2330724,Open · Closes 6 pm,2026-08-30T09:54:25.033603+00:00
Shree Kunj,,,Real estate agency,"566, Ggg, Ramrajatala, Kolkata, Howrah, West Bengal 711113",087772 30448,https://business.google.com/create?fp=12563044089412190782&hl=en&authuser=0&gmbsrc=in-en-et-ip-z-gmb-s-z-l~mrc%7Cclaimbz%7Cu&ppsrc=GMBMI&utm_campaign=in-en-et-ip-z-gmb-s-z-l~mrc%7Cclaimbz%7Cu&utm_source=gmb_mrc81&utm_medium=et&getstarted&lis=0,https://www.google.com/maps/place/Shree+Kunj/data=!4m7!3m6!1s0x3a02787a033859ad:0xae58e60996fc023e!8m2!3d22.6045174!4d88.2941302!16s%2Fg%2F11jz769bfw!19sChIJrVk4A3p4AjoRPgL8lgnmWK4?authuser=0&hl=en&g_ep=EgoyMDI2MDgyNi4wIJJjKgBIAVAD&rclk=1,22.6045174,88.2941302,Open · Closes 10 pm,2026-08-30T09:54:27.416285+00:00
S.R REAL ESTATE @Devloper,5.0,,Real estate agency,"51, Jaya Bibi Rd, Belur, Ghusuri, Howrah, West Bengal 711107",098365 48786,,https://www.google.com/maps/place/S.R+REAL+ESTATE+@Devloper/data=!4m7!3m6!1s0x39f89dcbc4a14863:0xab6dec2067e723b!8m2!3d22.6159958!4d88.3557892!16s%2Fg%2F11w1rb66c0!19sChIJY0ihxMud-DkRO3J-BsLetgo?authuser=0&hl=en&g_ep=EgoyMDI2MDgyNi4wIJJjKgBIAVAD&rclk=1,22.6159958,88.3557892,Closed · Opens 12 pm Mon,2026-08-30T09:54:29.893310+00:00
ANJALI SPACE AGENCY,,,Real estate agency,"Shoap Number 601, University Of India India Limited, Liluah, Howrah, West Bengal 711204",099371 76941,,https://www.google.com/maps/place/ANJALI+SPACE+AGENCY/data=!4m7!3m6!1s0x39f89d5882372f1f:0x86ee4bdc4b8c6efe!8m2!3d22.6202252!4d88.3360568!16s%2Fg%2F11ytvmrynn!19sChIJHy83glid-DkR_m6MS9xL7oY?authuser=0&hl=en&g_ep=EgoyMDI2MDgyNi4wIJJjKgBIAVAD&rclk=1,22.6202252,88.3360568,,2026-08-30T09:54:32.303554+00:00
